"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url","about"
"Rogówko Kościół filialny","","Rogówko","ul. Grunwaldzka 19, 73-155 WĘGORZYNO","","","91/397-14-65"," Karol  Wójciak","11:30,","Wt. 16:30,; ","","53.56634,15.62706","http://szczecin.kuria.pl/wspolnoty/koscioly/Rogowko-Kosciol-filialny-_454","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w05_r16.jpg"
"Kościół parafialny pw św. Tomasza Ap.","","Runowo","ul. Runowo 15, 73-155 WĘGORZYNO","","parafia.runowo@op.pl","91/395-00-06"," Janusz  Kasper","09:45,","Śr. 17:00,; Pt. 17:00,; So. obrzędowe wg ustaleń; ","","53.55858,15.50360","http://szczecin.kuria.pl/wspolnoty/koscioly/Runowo-Kosciol-parafialny-pw-sw-Tomasza-Ap_437","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r12_33.jpg"
"Kościół parafialny pw MB Królowej Polski","","Runowo Pomorskie","ul. Strzelecka 6, 73-155 WĘGORZYNO","","","91/397-14-71, kom. 600/23.53.29"," Kazimierz  Sałternik","8:30, 12:30,","Pn. 18:00,; Śr. 18:00,; Cz. 18:00,; Pt. 18:00,; So. 18:00,; ","","53.55070,15.53360","http://szczecin.kuria.pl/wspolnoty/koscioly/Runowo-Pomorskie-Kosciol-parafialny-pw-MB-Krolowej-Polski_441","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r17_24.jpg"
"Rynowo Kościół filialny","","Rynowo","ul. Zajezierze 20, 73-150 ŁOBEZ","","","91/397-83-79, fax. 91/397-83-79"," Jerzy  Tyrpa","14:00,","","","53.66256,15.75825","http://szczecin.kuria.pl/wspolnoty/koscioly/Rynowo-Kosciol-filialny-_459","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/z01_15.jpg"
"Siedlice Kościół filialny","","Siedlice","ul. Mieszewo 55, 73-155 WĘGORZYNO","","","91/397-26-42"," Wiesław  Borecki","12:00,","","","53.61329,15.48639","http://szczecin.kuria.pl/wspolnoty/koscioly/Siedlice-Kosciol-filialny-_435","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m07_s15.jpg"
"Kościół parafialny pw św. Jana Chrzciciela","","Sielsko","ul. Sielsko 27, 73-155 WĘGORZYNO","","","91/397-85-91"," Henryk  Melerski","10:30,","Śr. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.58223,15.46596","http://szczecin.kuria.pl/wspolnoty/koscioly/Sielsko-Kosciol-parafialny-pw-sw-Jana-Chrzciciela_444","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s02_18.jpg"
"Smorawina Kościół filialny","","Smorawina","ul. Browarna 13, 73-150 Łobez","","","91/397-42-47"," Józef  Cyrulik","","So. 18:00,; ","","53.67210,15.53190","http://szczecin.kuria.pl/wspolnoty/koscioly/Smorawina-Kosciol-filialny-_432","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/397px_Lobez_kosciol_kz.jpg"
"Strzmiele Kościół filialny","","Strzmiele","ul. Browarna 13, 73-150 Łobez","","","91/397-42-47"," Józef  Cyrulik","10:30,","Śr. 17:30,; ","","53.65358,15.52796","http://szczecin.kuria.pl/wspolnoty/koscioly/Strzmiele-Kosciol-filialny-_428","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/ll2_s15.jpg"
"Trzebawie Kościół filialny","","Trzebawie","ul. Runowo 15, 73-155 WĘGORZYNO","","parafia.runowo@op.pl","91/395-00-06"," Janusz  Kasper","11:00,","Cz. 17:00,; ","","53.53695,15.42991","http://szczecin.kuria.pl/wspolnoty/koscioly/Trzebawie-Kosciol-filialny-_439","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r12_t26.jpg"
"Kościół parafialny pw Wniebowzięcia NMP","","Węgorzyno","ul. Grunwaldzka 19, 73-155 WĘGORZYNO","","","91/397-14-65"," Karol  Wójciak","9:00,, 13:00,, 18:00,","09:00, 18:00,","","53.53709,15.55811","http://szczecin.kuria.pl/wspolnoty/koscioly/Wegorzyno-Kosciol-parafialny-pw-Wniebowziecia-NMP_448","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w05_49.jpg"
"Winniki Kościół filialny","","Winniki","ul. Strzelecka 6, 73-155 WĘGORZYNO","","","91/397-14-71, kom. 600/23.53.29"," Kazimierz  Sałternik","11:15,","Wt. 18:00,; ","","53.52342,15.49629","http://szczecin.kuria.pl/wspolnoty/koscioly/Winniki-Kosciol-filialny-_443","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r17_w15.jpg"
"Worowo Kościół filialny","","Worowo","ul. Bełczna 35 a, 73-150 ŁOBEZ","","","91/397-81-22"," Mieczysław  Kupski","10:00,","Wt. 17:00,; ","","53.69824,15.64512","http://szczecin.kuria.pl/wspolnoty/koscioly/Worowo-Kosciol-filialny-_423","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b04_w23.jpg"
"Wysiedle Kościół filialny","","Wysiedle","ul. Zajezierze 20, 73-150 ŁOBEZ","","","91/397-83-79, fax. 91/397-83-79"," Jerzy  Tyrpa","13:00,","","","53.62708,15.67980","http://szczecin.kuria.pl/wspolnoty/koscioly/Wysiedle-Kosciol-filialny-_458","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/z01_w03.jpg"
"Zagórzyce Kościół filialny","","Zagórzyce","ul. Zajezierze 20, 73-150 ŁOBEZ","","","91/397-83-79, fax. 91/397-83-79"," Jerzy  Tyrpa","9:00,","Wt. 17:00,; Cz. 17:00,; ","","53.61056,15.74184","http://szczecin.kuria.pl/wspolnoty/koscioly/Zagorzyce-Kosciol-filialny-_456","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/z01_z13.jpg"
"Kościół parafialny pw Najśw. Serca Pana Jezusa","","Zajezierze","ul. Zajezierze 20, 73-150 ŁOBEZ","","","91/397-83-79, fax. 91/397-83-79"," Jerzy  Tyrpa","11:30,","Pn. 17:00,; Śr. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.58523,15.73382","http://szczecin.kuria.pl/wspolnoty/koscioly/Zajezierze-Kosciol-parafialny-pw-Najsw-Serca-Pana-Jezusa_455","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/z01_15.jpg"
"Zwierzynek Kościół filialny","","Zwierzynek","ul. Mieszewo 55, 73-155 WĘGORZYNO","","","91/397-26-42"," Wiesław  Borecki","9:00,","","","53.58468,15.39847","http://szczecin.kuria.pl/wspolnoty/koscioly/Zwierzynek-Kosciol-filialny-_434","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m07_z21.jpg"
"Bagna Kościół filialny","","Bagna","ul. Jenikowo 29, 72-130 MASZEWO","","","91/419-11-67"," Marek  Romańczuk","12:00,","Śr. 16:00,; ","","53.54441,15.17295","http://szczecin.kuria.pl/wspolnoty/koscioly/Bagna-Kosciol-filialny-_465","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j03_b13.jpg"
"Kościół parafialny pw św. Wojciecha BM","","Bielice","ul. Bielice 10, 72-130 MASZEWO","","","91/419-11-30"," Roman  Wójciak","09:00,","Cz. 17:00,; So. 17:00,; ","","53.50489,15.12236","http://szczecin.kuria.pl/wspolnoty/koscioly/Bielice-Kosciol-parafialny-pw-sw-Wojciecha-BM_460","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b17_32.jpg"
"Budzieszowce Kościół filialny","","Budzieszowce","ul. Mickiewicza 7, 72-130 MASZEWO","www.maszewo.eparafia.pl/","kontakt@maszewo.eparafia.pl","91/418-76-22"," Henryk  Stanulewicz","09:30,","Śr. 16:00,; ","","53.52925,15.00533","http://szczecin.kuria.pl/wspolnoty/koscioly/Budzieszowce-Kosciol-filialny-_471","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m02_b42.jpg"
"Chlebówko Kościół filialny","","Chlebówko","ul. Bielice 10, 72-130 MASZEWO","","","91/419-11-30"," Roman  Wójciak","13:00,","Wt. 17:00,; ","","53.46292,15.17609","http://szczecin.kuria.pl/wspolnoty/koscioly/Chlebowko-Kosciol-filialny-_463","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b17_c10.jpg"
"Darż Kościół filialny","","Darż","ul. Rożnowo 41, 72-130 Maszewo","","","91/407-11-26"," Franciszek  Kokoszyński","","Pt. 18:00,; ","","53.47647,15.03565","http://szczecin.kuria.pl/wspolnoty/koscioly/Darz-Kosciol-filialny-_492","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r10_da30.jpg"
"Dąbrowica Kościół filialny","","Dąbrowica","ul. Rożnowo 41, 72-130 Maszewo","","","91/407-11-26"," Franciszek  Kokoszyński","","Cz. 18:30,; ","","53.46445,14.9723","http://szczecin.kuria.pl/wspolnoty/koscioly/Dabrowica-Kosciol-filialny-_491","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r10_db19.jpg"
"Dębice Kościół filialny","","Dębice","ul. Jenikowo 29, 72-130 MASZEWO","","","91/419-11-67"," Marek  Romańczuk","10:30,","Śr. 17:00,; Pt. 17:00,; ","","53.53636,15.12086","http://szczecin.kuria.pl/wspolnoty/koscioly/Debice-Kosciol-filialny-_467","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j03_d11.jpg"
"Kościół parafialny pw św. Józefa Oblub. NMP","","Jenikowo","ul. Jenikowo 29, 72-130 MASZEWO","","","91/419-11-67"," Marek  Romańczuk","14:00,","Pn. 06:30,; Cz. 6:30,, 18:00,; Pt. 18:00,; So. 16:00,; ","","53.57778,15.13669","http://szczecin.kuria.pl/wspolnoty/koscioly/Jenikowo-Kosciol-parafialny-pw-sw-Jozefa-Oblub-NMP_464","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j03_76.jpg"
"Kikorze Kościół filialny","","Kikorze","ul. Osina 26, 72-221 OSINA","","","91/391-03-86"," Jerzy  Labuda","09:00,","Śr. 17:30,, 16:30, - zimą; ","","53.63117,15.01256","http://szczecin.kuria.pl/wspolnoty/koscioly/Kikorze-Kosciol-filialny-_474","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/o01_ki47.jpg"
"Korytowo Kościół filialny","","Korytowo","ul. Jenikowo 29, 72-130 MASZEWO","","","91/419-11-67"," Marek  Romańczuk","17:00,","Wt. 17:00,; ","","53.59118,15.14882","http://szczecin.kuria.pl/wspolnoty/koscioly/Korytowo-Kosciol-filialny-_468","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j03_k07.jpg"
"Krzywice Kościół filialny","","Krzywice","ul. Osina 26, 72-221 OSINA","","","91/391-03-86"," Jerzy  Labuda","13:00,","Cz. 17:30,, 16:30, - zimą; ","","53.60117,14.96414","http://szczecin.kuria.pl/wspolnoty/koscioly/Krzywice-Kosciol-filialny-_476","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/o01_kr22.jpg"
"Łęczyca Kościół filialny","","Łęczyca","ul. Parlino 18 a, 73-112 STARA DĄBROWA","","","91/561-30-92, kom. 695742679"," Tadeusz  Tyszkiewicz","9:00,","Cz. 17:00,; ","","53.43933,15.06992","http://szczecin.kuria.pl/wspolnoty/koscioly/Leczyca-Kosciol-filialny-_478","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p16_l52.jpg"
"Małkocin Kościół filialny","","Małkocin","ul. Poczernin 23, 73-110 STARGARD Szczeciński","","","91/561-24-87"," Henryk  Jasik","10:45,","Wt. 17:00,; ","","53.40440,15.02922","http://szczecin.kuria.pl/wspolnoty/koscioly/Malkocin-Kosciol-filialny-_483","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p06_m28.jpg"
"Kościół parafialny pw MB Częstochowskiej","","Maszewo","ul. Mickiewicza 7, 72-130 MASZEWO","www.maszewo.eparafia.pl/","kontakt@maszewo.eparafia.pl","91/418-76-22"," Henryk  Stanulewicz","8:00,, 11:00,, 12:30,, 18:00,","Pn. 17:30, 18:00,; Wt. 17:30, 18:00,; Śr. 18:00,; Cz. 18:00,; Pt. 17:30, 18:00,; So. 17:30, 18:00,; ","","53.49559,15.06147","http://szczecin.kuria.pl/wspolnoty/koscioly/Maszewo-Kosciol-parafialny-pw-MB-Czestochowskiej_469","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m02_76.jpg"
"Nastazin Kościół filialny","","Nastazin","ul. Bielice 10, 72-130 MASZEWO","","","91/419-11-30"," Roman  Wójciak","11:45,","Śr. 17:00,; ","","53.50567,15.18358","http://szczecin.kuria.pl/wspolnoty/koscioly/Nastazin-Kosciol-filialny-_462","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b17_n21.jpg"
"Kościół parafialny pw Niep. Poczęcia NMP","","Osina","ul. Osina 26, 72-221 OSINA","","","91/391-03-86"," Jerzy  Labuda","11:30,","Wt. 19:00,, 18:00, - zimą; Śr. 19:00,, 18:00, - zimą; Cz. 19:00,, 18:00, - zimą; Pt. 19:00,, 18:00, - zimą; So. Niedzielna 19:00,, 18:00, - zimą; ","","53.60474,15.01188","http://szczecin.kuria.pl/wspolnoty/koscioly/Osina-Kosciol-parafialny-pw-Niep-Poczecia-NMP_472","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/o01_53.jpg"
"Kościół parafialny pw Miłosierdzia Bożego","","Parlino","ul. Parlino 18 a, 73-112 STARA DĄBROWA","","","91/561-30-92, kom. 695742679"," Tadeusz  Tyszkiewicz","12:30,","Pn. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.44908,15.06388","http://szczecin.kuria.pl/wspolnoty/koscioly/Parlino-Kosciol-parafialny-pw-Milosierdzia-Bozego_477","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p16_36.jpg"
"Kościół parafialny pw św. Michała Archanioła","","Poczernin","ul. Poczernin 23, 73-110 STARGARD Szczeciński","","","91/561-24-87"," Henryk  Jasik","13:00,","Pt. 17:00,; ","","53.42296,14.95256","http://szczecin.kuria.pl/wspolnoty/koscioly/Poczernin-Kosciol-parafialny-pw-sw-Michala-Archaniola_481","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p06_40.jpg"
"Kościół parafialny pw MB Król. Kor.Polskiej","","Przemocze","ul. Przemocze 59a, 72-130 MASZEWO","","","91/407-11-00, fax. 91/407-11-00"," Wojciech  Lassota","10:00,","Pn. 18:00,; Śr. 18.00,; Pt. 18:00,; So. 18:00,, 15:30,(DPS Przemocze); ","","53.46069,14.93025","http://szczecin.kuria.pl/wspolnoty/koscioly/Przemocze-Kosciol-parafialny-pw-MB-Krol-KorPolskiej_486","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p14_37.jpg"
"Radzanek Kościół filialny","","Radzanek","ul. Mickiewicza 7, 72-130 MASZEWO","www.maszewo.eparafia.pl/","kontakt@maszewo.eparafia.pl","91/418-76-22"," Henryk  Stanulewicz","09:30,","Cz. 16:00,; ","","53.50315,15.01684","http://szczecin.kuria.pl/wspolnoty/koscioly/Radzanek-Kosciol-filialny-_470","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m02_r16.jpg"
"Redostowo Kościół filialny","","Redostowo","ul. Osina 26, 72-221 OSINA","","","91/391-03-86"," Jerzy  Labuda","10:15,","Pt. 17:30,, 16:30, - zimą; ","","53.63319,14.98453","http://szczecin.kuria.pl/wspolnoty/koscioly/Redostowo-Kosciol-filialny-_475","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/o01_r28.jpg"
"Rogowo Kościół filialny","","Rogowo","ul. Poczernin 23, 73-110 STARGARD Szczeciński","","","91/561-24-87"," Henryk  Jasik","8:30,","Cz. 17:00,; ","","53.39796,14.98688","http://szczecin.kuria.pl/wspolnoty/koscioly/Rogowo-Kosciol-filialny-_484","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p06_sm23.jpg"
"Kościół parafialny pw św. Antoniego","","Rożnowo Nowogardzkie","ul. Rożnowo 41, 72-130 Maszewo","","","91/407-11-26"," Franciszek  Kokoszyński","10:30,","Pn. 07:30,; Wt. 18:00,; Śr. 18:00,; So. 07:30,; ","","53.48469,14.97613","http://szczecin.kuria.pl/wspolnoty/koscioly/Roznowo-Nowogardzkie-Kosciol-parafialny-pw-sw-Antoniego_489","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r10_18.jpg"
"Sowno Kościół filialny pw św. Marii Magdaleny","","Sowno","ul. Przemocze 59a, 72-130 MASZEWO","","","91/407-11-00, fax. 91/407-11-00"," Wojciech  Lassota","11:30,","Cz. 18.00,; ","","53.42405,14.90137","http://szczecin.kuria.pl/wspolnoty/koscioly/Sowno-Kosciol-filialny-pw-sw-Marii-Magdaleny_487","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p14_s19.jpg"
"Storkówko Kościół filialny","","Storkówko","ul. Poczernin 23, 73-110 STARGARD Szczeciński","","","91/561-24-87"," Henryk  Jasik","11:45,","Śr. 17:00,; ","","53.42150,15.05431","http://szczecin.kuria.pl/wspolnoty/koscioly/Storkowko-Kosciol-filialny-_482","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p06_st20.jpg"
"Tarnowo Kościół filialny","","Tarnowo","ul. Rożnowo 41, 72-130 Maszewo","","","91/407-11-26"," Franciszek  Kokoszyński","","Cz. 17:00,; ","","53.49779,14.94394","http://szczecin.kuria.pl/wspolnoty/koscioly/Tarnowo-Kosciol-filialny-_490","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r10_t22.jpg"
"Tolcz Kościół filialny","","Tolcz","ul. Parlino 18 a, 73-112 STARA DĄBROWA","","","91/561-30-92, kom. 695742679"," Tadeusz  Tyszkiewicz","16:00,","Śr. 17:00,; ","","53.46322,15.11636","http://szczecin.kuria.pl/wspolnoty/koscioly/Tolcz-Kosciol-filialny-_479","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p16_t19.jpg"
"Warchlinko Kościół filialny pw Chrystusa Króla","","Warchlinko","ul. Przemocze 59a, 72-130 MASZEWO","","","91/407-11-00, fax. 91/407-11-00"," Wojciech  Lassota","Lato 8.45,. Zima 13:00,.","Wt. 18:00,; ","","53.43554,14.98800","http://szczecin.kuria.pl/wspolnoty/koscioly/Warchlinko-Kosciol-filialny-pw-Chrystusa-Krola_488","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p14_w31.jpg"
"Węgorzyce Kościół filialny","","Węgorzyce","ul. Osina 26, 72-221 OSINA","","","91/391-03-86"," Jerzy  Labuda","","Wt. 17:30,, 16:30, - zimą; So. Niedzielna 17:45,, 16:45, - zimą; ","","53.59136,15.04722","http://szczecin.kuria.pl/wspolnoty/koscioly/Wegorzyce-Kosciol-filialny-_473","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/o01_wr29.jpg"
"Wojtaszyce Kościół filialny","","Wojtaszyce","ul. Jenikowo 29, 72-130 MASZEWO","","","91/419-11-67"," Marek  Romańczuk","09:00,","Wt. 16:00,; ","","53.56500,15.18895","http://szczecin.kuria.pl/wspolnoty/koscioly/Wojtaszyce-Kosciol-filialny-_466","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j03_w52.jpg"
"Białęgi Kościół filialny pw ŚW. ANDRZEJA APOSTOŁA","","Białęgi","ul. Moryńska 1 D, 74-503 MORYŃ","","czeslaw139@wp.pl","91/416-14-26, kom.  504/14.77.69, fax. 91/416-14-26"," Czesław  Dobrowolski","09:00,","Wt. 18:00,; ","","52.86262,14.52912","http://szczecin.kuria.pl/wspolnoty/koscioly/Bialegi-Kosciol-filialny-pw-SW-ANDRZEJA-APOSTOLA_512","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w09_bg46.jpg"
"Bielin Kościół filialny pw ŚW.JÓZEFA","","Bielin","ul. Moryńska 1 D, 74-503 MORYŃ","","czeslaw139@wp.pl","91/416-14-26, kom.  504/14.77.69, fax. 91/416-14-26"," Czesław  Dobrowolski","11:15,","Cz. 18:00,; ","","52.82782,14.45326","http://szczecin.kuria.pl/wspolnoty/koscioly/Bielin-Kosciol-filialny-pw-SWJOZEFA_510","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w09_b26.jpg"
"Błeszyn Kościół filialny","","Błeszyn","ul. Czelin 41, 74-505 Mieszkowice","","","91/414-53-34"," Marek  Szczucki","14:00,","","","52.76084,14.34384","http://szczecin.kuria.pl/wspolnoty/koscioly/Bleszyn-Kosciol-filialny-_500","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c13_b08.jpg"
"Kościół parafialny pw św. Antoniego","","Boleszkowice","ul. Warszawska 5, 74-407 BOLESZKOWICE","","","95/760-61-26"," Andrzej  Skowroński","8:30,, 13:00,, 17:00,","18:00,","","52.72537,14.56843","http://szczecin.kuria.pl/wspolnoty/koscioly/Boleszkowice-Kosciol-parafialny-pw-sw-Antoniego_493","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b09_47.jpg"
"Chełm Dolny Kościół filialny","","Chełm Dolny","ul. Warnice 16, 74-400 Dębno","","","95/769-33-46"," Marek  Wesołowski","12:00,","Śr. 18:00,; ","","52.86841,14.61191","http://szczecin.kuria.pl/wspolnoty/koscioly/Chelm-Dolny-Kosciol-filialny-_508","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w02_c42.jpg"
"Kościół parafialny pw NMP Częstochowskiej","","Czelin","ul. Czelin 41, 74-505 Mieszkowice","","","91/414-53-34"," Marek  Szczucki","11:30,","Pn. 17:00,; Cz. 17:00,; Pt. 17:00,; ","","52.73675,14.38544","http://szczecin.kuria.pl/wspolnoty/koscioly/Czelin-Kosciol-parafialny-pw-NMP-Czestochowskiej_496","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c13_32.jpg"
"Goszków Kościół filialny pw NARODZENIA ŚW. JANA CHRZCICIELA","","Goszków","ul. Moryńska 1 D, 74-503 MORYŃ","","czeslaw139@wp.pl","91/416-14-26, kom.  504/14.77.69, fax. 91/416-14-26"," Czesław  Dobrowolski","10:00,","Śr. 18.00,; ","","52.84538,14.50280","http://szczecin.kuria.pl/wspolnoty/koscioly/Goszkow-Kosciol-filialny-pw-NARODZENIA-SW-JANA-CHRZCICIELA_511","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w09_g25.jpg"
"Gozdowice Kościół filialny","","Gozdowice","ul. Czelin 41, 74-505 Mieszkowice","","","91/414-53-34"," Marek  Szczucki","12:00,","","","52.764808,14.32199","http://szczecin.kuria.pl/wspolnoty/koscioly/Gozdowice-Kosciol-filialny-_499","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c13_g43.jpg"
"Kaplica","","Kamionka","ul. Jana Pawła II nr 13, 74-505 MIESZKOWICE","parafiamieszkowice.wix.com/strona","spiekarz@szczecin.opoka.org.pl","91/414-50-15, fax. 91/414-50-15"," Stanisław  Piekarz","13:00,","Śr. 16:00,; ","","52.81288,14.52445","http://szczecin.kuria.pl/wspolnoty/koscioly/Kamionka-Kaplica-_503","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/kami.jpg"
"Kłosów Kościół filialny","","Kłosów","ul. Czelin 41, 74-505 Mieszkowice","","","91/414-53-34"," Marek  Szczucki","08:30,","Wt. 17:00,; ","","52.74228,14.46381","http://szczecin.kuria.pl/wspolnoty/koscioly/Klosow-Kosciol-filialny-_497","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c13_kl23.jpg"
"Kurzycko Kościół filialny","","Kurzycko","ul. Czelin 41, 74-505 Mieszkowice","","","91/414-53-34"," Marek  Szczucki","10:00,","Śr. 16:00,; So. 16:00,; ","","52.76015,14.46700","http://szczecin.kuria.pl/wspolnoty/koscioly/Kurzycko-Kosciol-filialny-_498","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c13_ku39.jpg"
"Kościół parafialny pw Przemienienia Pańskiego","","Mieszkowice","ul. Jana Pawła II nr 13, 74-505 MIESZKOWICE","parafiamieszkowice.wix.com/strona","spiekarz@szczecin.opoka.org.pl","91/414-50-15, fax. 91/414-50-15"," Stanisław  Piekarz","7:00,, 9:00,, 11:30,, 18:00,","07:00, 18:00,","","52.78477,14.49333","http://szczecin.kuria.pl/wspolnoty/koscioly/Mieszkowice-Kosciol-parafialny-pw-Przemienienia-Panskiego_501","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/SDC10299.jpg"
